FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF16325.8	3	1	1	1	0	6	2	0	4	3	2	2
PF00687.24	20	50	3	43	44	72	6	29	23	29	18	51
PF01765.22	7	21	7	11	6	18	7	7	6	7	8	13
PF00871.20	4	27	2	21	4	31	11	12	11	15	5	14
PF14492.9	136	339	27	297	223	490	113	174	188	233	91	324
PF00679.27	140	355	33	303	232	507	122	181	199	241	99	335
PF07242.14	0	0	0	0	0	0	0	0	0	0	1	0
PF04397.18	19	19	2	21	11	28	9	16	27	13	6	25
PF00480.23	4	30	1	8	10	29	6	17	16	9	11	29
PF00817.23	2	0	5	2	2	0	0	0	1	2	4	2
PF11798.11	0	0	0	1	0	0	0	0	0	0	2	0
PF11799.11	2	0	5	2	2	0	0	0	1	2	4	2
PF02729.24	1	8	4	9	8	10	11	6	11	4	6	14
PF00185.27	1	8	4	9	8	10	11	6	11	4	6	14
PF01316.24	2	1	0	0	1	1	1	1	2	0	0	1
PF02863.21	2	1	0	0	1	1	1	1	2	0	0	1
PF01225.28	3	15	2	5	8	14	3	3	11	4	2	5
PF02875.24	9	23	4	13	13	22	4	4	15	12	4	12
PF04321.20	1	10	2	3	3	15	0	2	3	3	2	5
PF00230.23	1	7	3	8	1	5	5	2	0	1	1	8
PF18073.4	0	0	1	1	1	6	1	0	1	1	1	2
PF13481.9	1	2	5	1	4	7	1	1	2	2	3	2
PF13541.9	3	3	1	3	2	7	1	0	1	1	3	3
PF01196.22	10	55	2	13	22	74	9	11	12	14	4	31
PF01193.27	23	58	15	30	51	86	19	21	39	42	12	70
PF01000.29	23	58	15	30	51	86	19	20	39	42	12	70
PF03118.18	23	58	15	30	52	86	19	21	39	42	12	72
PF00411.22	12	33	1	35	12	49	11	17	21	32	7	26
PF01176.22	3	2	1	6	7	9	0	4	0	5	1	5
PF13276.9	3	6	7	4	7	9	0	4	6	0	8	10
PF00406.25	3	10	3	5	8	19	5	5	3	15	1	5
PF05191.17	3	9	3	5	8	19	5	4	3	14	1	5
PF00828.22	9	35	5	24	12	42	7	11	17	35	7	28
PF00347.26	38	128	4	116	62	144	28	28	40	48	18	86
PF06480.18	5	8	3	9	7	13	5	1	5	6	4	21
PF17862.4	7	27	5	13	11	29	6	11	14	18	16	28
PF01434.21	7	31	6	16	12	33	6	18	15	19	19	29
PF07650.20	16	64	2	45	41	93	12	17	23	39	9	58
PF00189.23	14	59	1	45	38	86	11	17	18	33	5	54
PF00237.22	9	47	0	38	37	60	8	5	22	38	10	26
PF00573.25	9	38	1	33	36	64	6	16	32	34	8	45
PF14821.9	3	3	1	1	1	7	1	4	5	2	2	7
PF00291.28	9	11	8	13	13	27	6	7	11	15	9	19
PF04239.15	0	0	0	0	0	0	1	0	0	0	1	0
PF01243.23	1	0	0	1	0	1	2	0	0	0	1	0
PF14480.9	6	16	1	6	2	16	5	6	6	5	1	10
PF11490.11	3	1	1	5	2	3	4	2	2	1	1	1
PF02811.22	18	44	2	12	17	50	8	14	16	12	10	39
PF00929.27	6	18	3	7	15	25	6	8	10	9	3	17
PF07733.15	17	47	2	13	11	62	8	11	17	12	7	37
PF17657.4	13	31	2	9	9	43	5	9	12	9	7	32
PF14579.9	13	31	2	9	9	42	5	8	12	9	7	31
PF02852.25	8	19	6	12	11	27	4	9	11	11	9	30
PF04073.18	2	3	0	4	1	1	1	0	2	2	5	4
