FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF00664.26	2993.948	3036.266	2853.892	2658.917	2872.935	3016.385	2514.945	2419.573	2675.02	2722.253	3138.418	2568.654
PF01479.28	673.54	1266.732	1196.02	1193.784	1739.03	1515.827	1043.009	1399.445	1128.883	1239.042	1205.067	1144.174
PF00849.25	429.982	1421.595	986.61	896.048	810.695	1178.624	363.817	876.221	749.23	1082.578	804	629.797
PF00571.31	943.935	1755.244	1610.638	2200.179	1711.569	1968.176	2083.1	2087.351	2001.504	1841.725	2111.846	2543.041
PF00206.23	603.814	445.452	334.829	468.295	517.361	521.129	519.535	590.493	411.072	606.047	623.685	448.838
PF14698.9	200.575	269.878	96.784	185.571	205.707	182.667	209.083	242.573	138.215	245.749	303.575	210.071
PF01177.25	147.899	74.662	227.411	260.154	260.478	101.197	284.991	236.688	192.201	248.289	262.279	146.587
PF14691.9	153.385	0	306.251	252.016	380.919	257.547	165.822	390.082	385.786	308.293	319.641	363.337
PF07992.17	1717.591	1149.829	1649.352	1497.425	1576.622	1494.116	1539.819	1687.665	1444.427	1544.28	1409.331	1257.588
PF00310.24	198.487	313.693	215.84	280.006	216.205	286.872	315.047	225.322	282.16	328.615	140.505	134.037
PF04898.17	27.71	83.79	30.092	19.098	30.398	14.204	48.55	34.659	17.577	15.138	15.104	0
PF01645.20	479.417	514.323	628.051	425.51	402.026	310.161	402.153	376.811	333.072	337.677	310.624	429.243
PF01493.22	200.887	83.79	328.286	307.58	182.719	162.3	149.444	89.035	62.291	15.138	110.457	271.818
PF00132.27	816.701	1253.008	1433.545	906.904	939.369	907.044	1365.206	997.436	851.745	1189.817	835.101	723.225
PF01063.22	0	312.182	164.516	133.86	187.344	174.968	68.685	303.057	123.375	267.65	132.255	117.353
PF00282.22	186.362	94.114	139.351	187.64	224.742	204.335	163.561	145.421	101.179	256.562	166.766	274.264
PF01351.21	323.414	163.299	161.216	269.487	284.523	110.645	204.414	135.399	125.258	267.135	207.777	332.635
PF13508.10	288.598	194.272	191.817	310.679	317.679	283.31	140.726	274.675	198.72	217.6	269.293	302.031
PF00557.27	973.889	988.355	1343.1	946.936	993.235	1032.362	571.878	873.533	786.251	1315.454	1223.742	861.396
PF12802.10	1128.551	585.522	1042.364	769.841	987.307	927.326	401.241	857.038	679.101	929.891	560.876	1041.254
PF00825.21	84.469	355.682	31.922	171.191	155.079	0	515.23	294.901	0	387.864	64.651	0
PF03960.18	177.603	338.433	123.497	49.754	149.988	233.084	398.652	285.231	131.938	661.383	437.695	267.365
PF04715.16	0	66.73	0	0	20.023	0	26.591	0	23.484	0	0	0
PF00425.21	0	66.73	0	0	20.023	0	26.591	0	23.484	0	0	0
PF13476.9	281.304	263.708	528.838	366.51	430.27	423.173	539.341	410.857	378.671	340.389	434.068	255.06
PF13558.9	300.66	453.825	512.012	465.049	365.219	528.785	227.358	360.395	407.901	471.862	327.411	364.854
PF17757.4	453.796	331.823	571.529	678.981	613.14	470.648	379.465	719.029	455.722	796.186	536.297	464.275
PF02559.19	861.803	624.678	620.039	361.16	389.483	369.344	263.725	459.087	421.535	549.716	380.905	396.51
PF00270.32	1112.686	822.161	1462.394	1120.041	1071.846	1309.658	1336.9	1090.503	996.624	1314.321	1346.522	1401.362
PF00271.34	2030.501	2135.288	2296.929	2414.337	2335.413	2112.881	2052.642	2241.868	2019.065	2566.27	2303.099	2251.04
PF03461.18	264.691	142.273	316.975	228.477	284.317	205.914	123.984	334.088	205.689	418.209	249.383	255.916
PF02096.23	352.9	619.894	263.571	315.293	304.724	251.511	88.346	437.047	354.334	373.412	313.885	164.862
PF05833.14	71.534	180.611	181.522	204.522	157.234	184.48	148.861	136.222	167.606	239.158	170.588	140.349
PF05670.16	71.534	180.611	181.522	199.406	157.234	184.48	148.861	136.222	167.606	239.158	170.588	140.349
PF02653.19	3752.518	4243.256	4590.061	3822.045	3378.178	3850.788	2472.048	3350.249	2860.331	4774.439	4277.106	4729.864
PF14804.9	673.634	403.526	314.444	213.794	284.468	390.799	313.552	156.539	70.741	347.014	256.729	235.22
PF13083.9	673.634	403.526	412.279	289.737	517.65	320.057	633.524	156.539	70.741	347.014	457.48	235.22
